Partito;1948;1948_percent;1953;1953_percent;1958;1958_percent;1963;1963_percent;1968;1968_percent;1972;1972_percent;1976;1976_percent;1979;1987_percent;1983;1983_percent;1987;1987_percent;1992;1992_percent;1994;1994_percent;1996;1996_percent;2001;2001_percent;2006;2006_percent;2008;2008_percent;2013;2013_percent;2018;2018_percent
PATTO PER L'AGRO;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;12297;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
DEMOCRAZIA SOCIALE;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9319;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
MOV.RIN.IT.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;8886;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
MOV.AUT.TOSCANO;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;8627;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
PART.LEGGE NATURALE;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;24554;0,05%;8298;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
NUOVA DEMOCRAZIA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;8185;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
FEDERALISTI LIBERALI;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6475;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
PER LE MARCHE;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5545;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
NUOVE ENERGIE;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5393;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
SVILUPPO-LEGALITA';0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5347;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
NORD LIBERO AUT.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4965;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
PART.FEDERAL.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3743;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
RISORGIMENTO DEL SUD;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3084;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
P.POPOLARE ITALIANO;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4287172;8,91%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
PATTO SEGNI;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1811814;3,76%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
LISTA PANNELLA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;485694;1,02%;1359283;2,82%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
PSI;0;0,00%;3441014;11,37%;4206726;12,97%;4255836;12,44%;0;0,00%;3208497;8,66%;3540309;8,76%;3596802;8,52%;4223362;9,49%;5501696;12,04%;5343930;11,25%;849429;1,76%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
LA RETE-MOV.DEM.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;730171;1,54%;719841;1,50%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
ALLEANZA DEMOCRATICA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;456114;0,95%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
SVP;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;231842;0,48%;0;0,00%;200059;0,41%;186641,3572;0,37%;147718;0,30%;146800;0,29%;0;0,00%
SOCIALDEMOCRAZIA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;100212;0,28%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;179495;0,37%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
PROGRAMMA ITALIA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;151328;0,31%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
LEGA ALPINA LUMBARDA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;136782;0,28%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
LEGA AUT.VENETA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;152301;0,32%;103764;0,22%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
UN.POP.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;36343;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
SOLID.OCCUPAZ.SVILUP;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;32653;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
PARTIDU INDIP.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9958;0,02%;0;0,00%;24043;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
UNIONE DEM.ITALIANA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;20227;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
UN.CRIST.RIF.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15844;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
PATTO SOLIDARIETA';0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15671;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
LG.ANGELA BOSSI;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15234;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
LEGA PER IL PIEMONTE;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15118;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
ALL.MERIDIONALE;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14993;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
ADA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;12898;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
ALL.POP.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;25339;0,06%;0;0,00%;12827;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
